datetime;cartPos;cartVel;pendPos;pendVel;action;cartController;exploration
2018-05-26 10:23:16.442;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.462;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.482;90,38;0,00;180;0;0,70;CartControllerGamepad;0
2018-05-26 10:23:16.502;90,38;0,00;180;0;0,70;CartControllerGamepad;0
2018-05-26 10:23:16.522;90,38;0,00;180;0;0,70;CartControllerGamepad;0
2018-05-26 10:23:16.542;90,38;0,00;180;0;0,70;CartControllerGamepad;0
2018-05-26 10:23:16.562;90,38;0,00;180;0;0,70;CartControllerGamepad;0
2018-05-26 10:23:16.582;90,38;0,00;180;0;0,70;CartControllerGamepad;0
2018-05-26 10:23:16.602;90,38;0,00;180;0;0,70;CartControllerGamepad;0
2018-05-26 10:23:16.622;90,38;0,00;180;0;0,70;CartControllerGamepad;0
2018-05-26 10:23:16.642;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.662;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.682;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.702;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.722;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.742;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.762;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.782;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.802;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.822;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.842;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.862;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.882;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.902;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.922;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.942;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.962;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:16.982;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:17.002;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:17.022;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:17.042;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:17.062;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:17.082;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:17.102;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:17.122;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:17.141;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:17.161;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:17.181;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.201;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.221;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.241;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.261;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.281;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.301;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.321;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.341;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.361;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.381;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.401;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.421;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.441;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.461;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.481;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.501;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.521;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.541;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.561;90,38;0,00;180;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.581;90,38;0,00;180;0;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:17.601;90,38;0,00;180;0;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:17.621;90,38;0,00;179;-1;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:17.641;90,38;0,00;178;-1;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:17.661;91,41;1,03;176;-2;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:17.681;93,13;1,72;173;-3;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:17.701;101,03;7,90;171;-2;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:17.721;110,65;9,62;168;-3;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:17.741;126,12;15,47;165;-3;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:17.761;142,61;16,49;162;-3;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:17.781;155,33;12,72;159;-3;0,70;CartControllerGamepadPID;0
2018-05-26 10:23:17.801;168,38;13,05;157;-2;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.821;168,38;0,00;156;-1;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.841;181,44;13,06;156;0;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.860;196,22;14,78;157;1;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.880;204,81;8,59;160;3;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.900;205,15;0,34;164;4;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.920;205,15;0,00;169;5;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.941;207,90;2,75;173;4;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.961;210,65;2,75;178;5;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:17.981;210,65;0,00;182;4;0,00;CartControllerGamepadPID;0
2018-05-26 10:23:18.001;210,65;0,00;187;5;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.020;209,97;-0,68;191;4;-0,70;CartControllerGamepadPID;0
2018-05-26 10:23:18.040;209,97;0,00;196;5;-0,70;CartControllerGamepadPID;0
