datetime;cartPos;cartVel;pendPos;pendVel;action
2024-09-16 13:42:15.111339;-0.03441068;0.19742934;-0.8649589;0.5018427;[0.43416098]
2024-09-16 13:42:15.111339;-0.03243639;0.23514444;-0.866783;0.49868545;[-0.21247809]
2024-09-16 13:42:15.111339;-0.030084945;0.1829012;-0.86880195;0.49515978;[-0.57999927]
2024-09-16 13:42:15.111339;-0.028255932;0.079223834;-0.8719625;0.48957264;[0.44438148]
2024-09-16 13:42:15.111339;-0.027463695;0.11828062;-0.87676007;0.4809281;[0.23337917]
2024-09-16 13:42:15.111339;-0.026280887;0.12802589;-0.88163733;0.47192752;[0.5018494]
2024-09-16 13:42:15.111339;-0.02500063;0.17579675;-0.8868695;0.46202004;[0.59980977]
2024-09-16 13:42:15.111339;-0.023242662;0.23796213;-0.89203805;0.45196033;[0.60241807]
2024-09-16 13:42:15.111339;-0.020863041;0.3011421;-0.89698464;0.44206172;[0.7843672]
2024-09-16 13:42:15.111339;-0.017851619;0.391027;-0.901692;0.43237898;[-0.5100101]
2024-09-16 13:42:15.112339;-0.013941349;0.29553583;-0.9059012;0.42348912;[-0.7302591]
2024-09-16 13:42:15.112339;-0.010985991;0.16764802;-0.9113505;0.41163126;[0.09107438]
2024-09-16 13:42:15.112339;-0.009309511;0.1579808;-0.9182107;0.3960923;[0.40670365]
2024-09-16 13:42:15.112339;-0.007729703;0.19475523;-0.92527354;0.3793005;[-0.90590996]
2024-09-16 13:42:15.112339;-0.0057821507;0.03918503;-0.9320758;0.36226332;[0.616107]
2024-09-16 13:42:15.112339;-0.0053903004;0.107848644;-0.940118;0.3408492;[-0.62349844]
2024-09-16 13:42:15.112339;-0.004311814;-0.006978348;-0.94744116;0.31993008;[-0.44969004]
2024-09-16 13:42:15.112339;-0.0043815975;-0.09635937;-0.95534956;0.29547793;[-0.32531768]
2024-09-16 13:42:15.112339;-0.005345191;-0.16698983;-0.96340907;0.2680355;[-0.9901961]
2024-09-16 13:42:15.112339;-0.0070150895;-0.33913615;-0.97125745;0.2380315;[0.56909347]
2024-09-16 13:42:15.112339;-0.010406451;-0.27081242;-0.97915864;0.20309684;[0.10915775]
2024-09-16 13:42:15.112339;-0.013114575;-0.27052227;-0.98562276;0.1689609;[0.1903934]
2024-09-16 13:42:15.113339;-0.015819797;-0.25474343;-0.9909632;0.13413398;[0.6678061]
2024-09-16 13:42:15.113339;-0.018367233;-0.16034047;-0.995076;0.09911468;[0.90619373]
2024-09-16 13:42:15.113339;-0.019970637;-0.024335885;-0.9978211;0.06597735;[-0.25868246]
