datetime;cartPos;cartVel;pendPos;pendVel;action;cartController;exploration
2019-02-14 11:12:24.284;339.18;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.304;338.83;-0.35;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.323;338.83;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.344;342.96;4.13;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.363;343.3;0.34;359.68;359.64;0;Gamepad;0
2019-02-14 11:12:24.386;343.3;0.0;0.04;-359.64;0;Gamepad;0
2019-02-14 11:12:24.403;343.3;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.423;347.42;4.12;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.444;347.42;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.463;342.96;-4.46;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.483;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.504;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.524;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.544;339.18;-3.78;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.564;342.96;3.78;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.583;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.603;342.96;0.0;0.39;0.35;0;Gamepad;0
2019-02-14 11:12:24.624;338.83;-4.13;0.04;-0.35;0;Gamepad;0
2019-02-14 11:12:24.643;338.83;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.663;338.83;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.684;339.18;0.35;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.704;339.18;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.724;338.83;-0.35;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.743;338.83;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.763;338.83;0.0;0.39;0.35;0;Gamepad;0
2019-02-14 11:12:24.784;339.18;0.35;0.04;-0.35;0;Gamepad;0
2019-02-14 11:12:24.804;339.18;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.823;339.18;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.843;339.18;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.864;338.83;-0.35;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.884;342.96;4.13;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.903;343.3;0.34;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.923;343.3;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.944;343.3;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.964;343.3;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:24.984;343.3;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.004;343.3;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.024;343.3;0.0;0.39;0.35;0;Gamepad;0
2019-02-14 11:12:25.044;343.3;0.0;0.04;-0.35;0;Gamepad;0
2019-02-14 11:12:25.064;343.3;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.084;343.3;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.104;343.3;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.124;343.3;0.0;0.39;0.35;0;Gamepad;0
2019-02-14 11:12:25.144;342.96;-0.34;0.04;-0.35;0;Gamepad;0
2019-02-14 11:12:25.164;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.184;338.83;-4.13;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.204;343.3;4.47;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.224;338.83;-4.47;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.244;338.83;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.264;338.83;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.284;338.83;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.304;338.83;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.324;339.18;0.35;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.344;347.42;8.24;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.364;347.42;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.384;339.18;-8.24;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.404;338.83;-0.35;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.424;338.83;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.444;342.96;4.13;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.464;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.486;343.3;0.34;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.504;339.18;-4.12;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.524;342.96;3.78;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.544;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.564;342.96;0.0;359.68;359.64;0;Gamepad;0
2019-02-14 11:12:25.586;347.42;4.46;0.04;-359.64;0;Gamepad;0
2019-02-14 11:12:25.604;342.96;-4.46;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.624;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.644;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.664;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.684;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.704;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.724;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.744;343.3;0.34;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.764;347.42;4.12;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.784;347.42;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.804;342.96;-4.46;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.824;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.844;343.3;0.34;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.864;343.3;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.884;343.3;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.904;339.18;-4.12;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.924;339.18;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:25.944;343.3;4.12;359.68;359.64;0;Gamepad;0
2019-02-14 11:12:25.966;343.3;0.0;0.04;-359.64;0;Gamepad;0
2019-02-14 11:12:25.984;343.3;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.004;343.3;0.0;0.39;0.35;0;Gamepad;0
2019-02-14 11:12:26.024;343.3;0.0;0.04;-0.35;0;Gamepad;0
2019-02-14 11:12:26.044;343.3;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.064;343.3;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.084;347.42;4.12;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.104;342.96;-4.46;0.39;0.35;0;Gamepad;0
2019-02-14 11:12:26.124;342.96;0.0;0.04;-0.35;0;Gamepad;0
2019-02-14 11:12:26.144;342.96;0.0;359.68;359.64;0;Gamepad;0
2019-02-14 11:12:26.166;342.96;0.0;0.04;-359.64;0;Gamepad;0
2019-02-14 11:12:26.184;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.204;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.224;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.244;343.3;0.34;359.68;359.64;0;Gamepad;0
2019-02-14 11:12:26.266;343.3;0.0;0.04;-359.64;0;Gamepad;0
2019-02-14 11:12:26.284;342.96;-0.34;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.304;342.96;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.324;343.3;0.34;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.344;343.3;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.364;339.18;-4.12;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.384;338.83;-0.35;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.404;338.83;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.424;339.18;0.35;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.444;339.18;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.464;339.18;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.484;343.3;4.12;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.504;343.3;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.524;342.96;-0.34;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.544;339.18;-3.78;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.564;339.18;0.0;0.04;0.0;0;Gamepad;0
2019-02-14 11:12:26.585;342.96;3.78;0.39;0.35;0;Gamepad;0
2019-02-14 11:12:26.605;342.96;0.0;0.04;-0.35;0;Gamepad;0
